"sample","size_factor"
"sample_0",0.938643859599708
"sample_1",0.718732117475526
"sample_2",1.10873623429659
"sample_3",1.43245410803563
"sample_4",1.39162637675198
"sample_5",0.944536750835148
"sample_6",0.940356745189767
"sample_7",0.967402562964078
"sample_8",1.19660864002864
"sample_9",1.23596424345177
"sample_10",1.03098809225063
"sample_11",1.17875928760297
"sample_12",0.941485697094719
"sample_13",1.04841269881424
"sample_14",1.15417434279902
"sample_15",1.91494394146729
"sample_16",0.914363656194671
"sample_17",0.813888954503466
"sample_18",1.05219597104209
"sample_19",0.882507062288029
"sample_20",1.03434625906053
"sample_21",1.03952172217965
"sample_22",1.22928153273627
"sample_23",0.786421131284978
"sample_24",0.747652013135654
"sample_25",1.28730404029224
"sample_26",0.988749284528086
"sample_27",0.775981825096327
"sample_28",0.751937682131412
"sample_29",0.870026416340803
