"gene","baseMean","dispGeneEst","dispFit","dispMAP","dispersion","dispOutlier"
"gene_0",168.650601818379,0.119821331830101,0.0781005976155789,0.113516396015471,0.119821331830101,TRUE
"gene_1",104.375673178256,0.129846536904764,0.0953087426182455,0.1247128037265,0.1247128037265,FALSE
"gene_2",429.355916887859,0.0521643542510949,0.0611328507536612,0.0522516657085792,0.0522516657085792,FALSE
"gene_3",1996.06317567103,0.0477646774791709,0.0525174445365664,0.0478029302301871,0.0478029302301871,FALSE
"gene_4",79.782524459013,0.0927250878286637,0.109227059215526,0.0954313366782829,0.0954313366782829,FALSE
"gene_5",180.057441845725,0.0762638780695587,0.0763303010835748,0.0767758091017245,0.0767758091017245,FALSE
"gene_6",690.183340185241,0.052611733622535,0.0569847340594402,0.0525037548915643,0.0525037548915643,FALSE
"gene_7",112.518542912167,0.0806424431678176,0.0920411061319037,0.0816774297077079,0.0816774297077079,FALSE
"gene_8",6.16742818986539,0.931965790990485,0.81430097363605,0.911364705761135,0.911364705761135,FALSE
"gene_9",129.864121319171,0.0844598091031729,0.0864466851490955,0.0847253296858388,0.0847253296858388,FALSE
"gene_10",1436.63870548772,0.042415887808917,0.0534368334284592,0.0424899031948583,0.0424899031948583,FALSE
"gene_11",199.269285551719,0.0606367842445468,0.0738068363243353,0.0612315669554843,0.0612315669554843,FALSE
"gene_12",407.414563652592,0.078486424453035,0.0617239889826225,0.0761667385677428,0.0761667385677428,FALSE
"gene_13",513.470229022603,0.0301533067051607,0.0593347384373013,0.0331783631193726,0.0331783631193726,FALSE
"gene_14",18.7372835778735,0.419109972655903,0.301676674247957,0.400067500249801,0.400067500249801,FALSE
"gene_15",930.338229831255,0.0555963602641608,0.0552220854912551,0.0533963365051791,0.0533963365051791,FALSE
"gene_16",19.65983271535,0.282065575213612,0.289873938114524,0.283304852707451,0.283304852707451,FALSE
"gene_17",11.5780107539866,0.526762183938228,0.45720445429053,0.514960385367196,0.514960385367196,FALSE
"gene_18",1183.94911078108,0.0516407876061017,0.0541369758605641,0.0522359694330476,0.0522359694330476,FALSE
"gene_19",65.1077883766927,0.15316500125815,0.122541079698804,0.148458006649787,0.148458006649787,FALSE
"gene_20",271.742135900268,0.0679438886166357,0.0674993309007499,0.0684646357306574,0.0684646357306574,FALSE
"gene_21",978.889128809236,0.0529665395076702,0.0549708375328566,0.0536653209533012,0.0536653209533012,FALSE
"gene_22",146.494654472513,0.0751012933705491,0.08232689730515,0.0760706327359048,0.0760706327359048,FALSE
"gene_23",5.40815384529007,0.901342692992798,0.921582569493486,0.90486009505908,0.90486009505908,FALSE
"gene_24",54.9062138219912,0.106385066383372,0.135990154410408,0.109243376220705,0.109243376220705,FALSE
"gene_25",697.758476221578,0.0507216021899178,0.0569106029530168,0.0536156655498602,0.0536156655498602,FALSE
"gene_26",471.065753270245,0.0653812465019538,0.0601609562174383,0.0647022600310401,0.0647022600310401,FALSE
"gene_27",77.5408938963429,0.0931896046318997,0.110934733743639,0.0957425290130086,0.0957425290130086,FALSE
"gene_28",149.463648669047,0.0824259578236517,0.0816878520279785,0.0823184955762158,0.0823184955762158,FALSE
"gene_29",139.070312492458,0.0863271094246438,0.0840443366124573,0.0850387948343689,0.0850387948343689,FALSE
"gene_30",790.20525406419,0.033848722697538,0.0561204223157001,0.0357787144379116,0.0357787144379116,FALSE
"gene_31",110.512684592135,0.0869026754335466,0.0928013337873802,0.0884981083814424,0.0884981083814424,FALSE
"gene_32",171.344979522985,0.076184184407142,0.0776611786114529,0.0763807985213004,0.0763807985213004,FALSE
"gene_33",481.207146577979,0.0614977122004604,0.0599501110438689,0.0616376362616559,0.0616376362616559,FALSE
"gene_34",21.9759510094657,0.209298902803833,0.264609311795323,0.217860586046903,0.217860586046903,FALSE
"gene_35",66.2174482780794,0.160876181409128,0.121328070352726,0.154852128047119,0.154852128047119,FALSE
"gene_36",14.9046311677095,0.256815218822494,0.366353874171347,0.274022779575756,0.274022779575756,FALSE
"gene_37",89.5913091751171,0.131653934245524,0.10275978635878,0.127305641527639,0.127305641527639,FALSE
"gene_38",23.0754031242731,0.28267082366061,0.25439147450931,0.278154795246069,0.278154795246069,FALSE
"gene_39",2.54934310227263,1.06749358626705,1.89879215386092,1.23106931636592,1.23106931636592,FALSE
"gene_40",1412.38786043183,0.0538932830174547,0.0534931589181825,0.0548386449546999,0.0548386449546999,FALSE
"gene_41",1418.03344004775,0.0521501627312326,0.0534798743413076,0.0541207665781947,0.0541207665781947,FALSE
"gene_42",54.7900875450992,0.151863786302401,0.136172077008469,0.149527264250425,0.149527264250425,FALSE
"gene_43",1807.02683144017,0.0698018112232552,0.0527644383438667,0.06726643735457,0.06726643735457,FALSE
"gene_44",61.9735290208726,0.122664632267236,0.126201874609111,0.123166525302784,0.123166525302784,FALSE
"gene_45",4322.55545496827,0.0363012272050469,0.0512466761624439,0.0369789241221634,0.0369789241221634,FALSE
"gene_46",36.8764936154512,0.189812382046038,0.177956147917477,0.188017658144135,0.188017658144135,FALSE
"gene_47",926.734732378817,0.0532194581595206,0.0552417828298524,0.0539091050462737,0.0539091050462737,FALSE
"gene_48",116.225668779802,0.134741283669337,0.0907051542470589,0.128495696186229,0.128495696186229,FALSE
"gene_49",173.409768433572,0.0695385458321117,0.0773336793270344,0.0705726995479709,0.0705726995479709,FALSE
"gene_50",87.5558654434097,0.0788697377957273,0.103982676972775,0.0822405765733883,0.0822405765733883,FALSE
