"gene","stat","pvalue","padj","dispersion"
"gene_0",4.56303655253487,0.0326691018462378,0.102992277791231,0.119821331830101
"gene_1",1.38829551768856,0.238693156866905,0.427256373832395,0.1247128037265
"gene_2",1.81640434465851,0.177741874244725,0.354420487028364,0.0522516657085792
"gene_3",19.1564106119097,1.2043234616428e-05,0.000130197130988411,0.0478029302301871
"gene_4",2.46587771797226,0.116342696271101,0.268658434927653,0.0954313366782829
"gene_5",1.66958295343795,0.196314403717581,0.377527699456886,0.0767758091017245
"gene_6",0.314756255449083,0.574776117322399,0.733132802707141,0.0525037548915639
"gene_7",1.14315209969959,0.284987256956519,0.481397393507634,0.0816774297077079
"gene_8",0.430453360402907,0.511766575032443,0.682355433376591,0.911364705761136
"gene_9",16.8288651001387,4.09063445788578e-05,0.000402838951733089,0.0847253296858392
"gene_10",32.7133661041337,1.06800283512253e-08,1.94182333658641e-07,0.0424899031948582
"gene_11",6.72797685402782,0.00949121921601321,0.0375147004585502,0.0612315669554843
"gene_12",0.0231432659998063,0.879085105240068,0.944237492202006,0.076166738567744
"gene_13",0.625971215636127,0.428836960969871,0.615817196565834,0.0331783631193726
"gene_14",1.22199320439756,0.268969839274401,0.460959450341733,0.400067500249801
"gene_15",5.25188055178796,0.0219230654740506,0.0746674893914098,0.0533963365051791
"gene_16",2.13097556630441,0.144348859685554,0.309586588511079,0.283304852707453
"gene_17",0.0352989657247917,0.850970572424984,0.93093383223268,0.514960385367196
"gene_18",12.2482167602127,0.000465703001828885,0.00316804763148901,0.0522359694330476
"gene_19",0.303770253834273,0.581528407631896,0.7384241120132,0.148458006649788
"gene_20",8.58672930235116e-05,0.99260653992167,0.994581185590118,0.0684646357306574
"gene_21",3.4884802830536,0.0617972908182118,0.167019704914086,0.0536653209533012
"gene_22",10.9690951183213,0.000926439876133145,0.00554754416846195,0.076070632735905
"gene_23",1.23319007735239,0.266787539852962,0.459472155730951,0.904860095059081
"gene_24",0.134228655777292,0.714087292940381,0.840011213755633,0.109243376220704
"gene_25",0.0305426246809475,0.861264696873277,0.935465604250692,0.0536156655498612
"gene_26",3.76719131376262,0.052267329570404,0.144985657615545,0.0647022600310401
"gene_27",7.38356411422023,0.00658225989646504,0.027540836386883,0.0957425290130086
"gene_28",0.432927325361334,0.510556039120379,0.681650252497168,0.0823184955762158
"gene_29",1.42770881133538,0.232138725901787,0.41940149214415,0.0850387948343689
"gene_30",25.1316953920053,5.35454975089417e-07,7.76021703028141e-06,0.0357787144379118
"gene_31",3.93831469906013,0.0471980391290134,0.133895146465286,0.0884981083814424
"gene_32",0.662155091078034,0.415800144560383,0.608339640907656,0.0763807985213004
"gene_33",13.7931589209869,0.000204077984139758,0.00155784720717373,0.0616376362616559
"gene_34",1.10925323560014,0.292244336146008,0.489521501082091,0.217860586046902
"gene_35",1.8895703046411,0.169250394992259,0.343307089233791,0.154852128047119
"gene_36",0.121480413977338,0.727434374907772,0.847895827966636,0.274022779575757
"gene_37",0.644061583632151,0.422243854391449,0.612835782861319,0.127305641527639
"gene_38",2.1395743884251,0.143541710294665,0.309024134111227,0.278154795246068
"gene_39",17.1877722321485,3.38608884993604e-05,0.000342029176761216,1.23106931636592
"gene_40",0.540510220434157,0.462221351468741,0.641083705227102,0.0548386449546999
"gene_41",22.9375972259285,1.67346461216307e-06,2.20192712126719e-05,0.0541207665781947
"gene_42",1.82890367275274,0.176257093086781,0.352514186173562,0.149527264250426
"gene_43",5.99093536710666,0.0143795754701739,0.0527690842942162,0.06726643735457
"gene_44",0.862872315785239,0.35293614085268,0.547187815275474,0.123166525302784
"gene_45",10.3928047077975,0.00126507316092301,0.00720839407933339,0.0369789241221634
"gene_46",49.8452860653166,1.66359585556418e-12,3.91434318956278e-11,0.188017658144134
"gene_47",23.5102693634232,1.24248803924818e-06,1.70203840992902e-05,0.0539091050462737
"gene_48",1.39608393879155,0.237380348871281,0.425794347751177,0.128495696186229
"gene_49",0.00150903156031745,0.969012966151655,0.987193546419964,0.0705726995479709
"gene_50",0.350881696009083,0.553614447227552,0.716189453075746,0.0822405765733883
"gene_51",1.4497504518165,0.228567998841938,0.415578179712614,0.390675792205531
"gene_52",1.23115230824101,0.267183058557548,0.459472155730951,0.0925267923939467
"gene_53",0.0983580327183518,0.753809027796466,0.8662834620804,0.859709870029834
"gene_54",5.54079257303931,0.0185781668689282,0.0656472327523963,0.0815823141857708
"gene_55",0.557606904040654,0.455226067424701,0.634903859727617,0.08498056803776
"gene_56",10.164760748139,0.00143150490741214,0.00795280504117855,0.807005328783196
"gene_57",1.55713332752043,0.21208545034493,0.396792236379662,0.189619697727797
"gene_58",7.78630424179789,0.00526437729016438,0.0232937048237362,0.101898319858096
"gene_59",4.32419842865863,0.0375741073314984,0.113860931307571,0.0616364338771937
"gene_60",15.4318021884953,8.55366253928856e-05,0.000747044763256643,0.102174969178964
"gene_61",51.2489026787666,8.1366204720308e-13,1.93729058857876e-11,0.112189515063354
"gene_62",0.653218279426483,0.418964405300398,0.611180751714657,0.0772514835802943
"gene_63",0.0244363070086138,0.875779873197969,0.941698788384913,0.123368418336024
"gene_64",2.828119551653,0.0926267591507794,0.225919083291504,0.0494001163485833
"gene_65",15.7054688398349,7.4009875108754e-05,0.000664974809797547,0.0585181824969143
"gene_66",0.185904270388846,0.66634754668932,0.80331229257302,0.121097602460703
"gene_67",10.1127726567628,0.001472452762164,0.00811268739484296,0.159693442642305
"gene_68",8.32890839537254,0.00390190973496243,0.0182759238171543,0.16066287301921
"gene_69",0.0293486377508998,0.863976525917021,0.936291557037502,0.947125724042391
"gene_70",2.15461194410898,0.142142351266675,0.307495366841165,0.115957498432672
"gene_71",0.315527001191413,0.574308235385995,0.733003491239305,0.049727601105632
"gene_72",11.4784248625189,0.000704087776345248,0.00442822500846068,0.0503490363008609
"gene_73",2.25082795026725,0.133542934488072,0.29676207664016,0.198739268930249
"gene_74",4.7612761784809,0.0291069592320967,0.0937422197491038,0.0559896915085657
"gene_75",4.39997751848296,0.0359394043406626,0.110753172082165,0.351757265656435
"gene_76",8.53764534085144,0.00347875368460561,0.0166799864348339,0.0925171584269348
"gene_77",0.271583019134596,0.602271841184419,0.754726618025587,0.134982064462445
"gene_78",8.78803309660725e-05,0.992520379858083,0.994581185590118,0.0821336445346438
"gene_79",81.7271994160598,1.56228566938283e-19,4.80703282887025e-18,0.0868920434331301
"gene_80",0.0498592296154357,0.823308405916127,0.916314308198249,0.145784415958548
"gene_81",1.90660122851034,0.167341288927396,0.341164707293366,0.0555562520385244
"gene_82",2.43212696078001,0.118871509907517,0.273267838867856,0.0573034231510261
"gene_83",5.06171142191056,0.0244600720229976,0.0809936159701908,0.0580589721716902
"gene_84",6.34431956863273,0.0117757770673791,0.0447748177466886,0.056475348685013
"gene_85",7.06259221112805,0.0078710025868344,0.0320611103333377,0.0651203340179904
"gene_86",0.279430681033659,0.597074611498051,0.751509894900001,0.113933036199922
"gene_87",12.5762638917125,0.000390676947520582,0.00270364669564417,0.0500608045837713
"gene_88",1.5068507285398,0.219620266859719,0.406327968288102,0.0403198010609584
"gene_89",0.000156042516437083,0.990033326311801,0.993287412579666,0.140178869948962
"gene_90",0.121424490951199,0.727494620395374,0.847895827966636,0.217558203264934
"gene_91",29.7377722593696,4.94616265595149e-08,8.60202201035041e-07,0.050286420313439
"gene_92",133.559403280454,6.82109245763023e-31,2.96569237288271e-29,0.0527863512374659
"gene_93",1.83424920931657,0.175626473491864,0.351604551535262,0.13769156942229
"gene_94",1.81003016376417,0.178504611498505,0.355233057708469,0.0549524853778044
"gene_95",1.92999154498159,0.164759369918501,0.338638700427421,0.0776692768455901
"gene_96",20.5627525028697,5.77080708267549e-06,6.74948196804151e-05,0.0582721972770982
"gene_97",7.46516036170362,0.00629044277284096,0.0267110096511294,0.0760631117802828
"gene_98",0.797835621742422,0.371741271868237,0.566880815513457,1.00719803832967
"gene_99",0.456015889791729,0.499491862560918,0.671811516558061,0.0573969664967241
"gene_100",3.94356406560144,0.0470509931390283,0.133895146465286,0.0509357771352561
"gene_101",0.0254536447613418,0.873241883194331,0.940251678451622,0.227127484080308
"gene_102",0.254095485761979,0.614205969630881,0.762988782150163,0.292930048025151
"gene_103",17.4380571635672,2.96823257086285e-05,0.000302880874577841,0.0679698047916578
"gene_104",0.131842212057336,0.716529565333555,0.840011213755633,0.112213532006597
"gene_105",0.616375395233945,0.432397409500267,0.617338835429507,0.0746102132907518
"gene_106",39.2124458280495,3.80109518025847e-10,7.60219036051694e-09,0.121926970500294
"gene_107",0.160455150403436,0.688737816246172,0.822864774487661,0.652689849002067
"gene_108",11.4412691854176,0.000718307106914316,0.00448941941821447,0.0537467729316968
"gene_109",0.396154092071924,0.529082157834868,0.698448089208184,0.0787052394619578
"gene_110",5.04983624180363,0.0246282658602405,0.081415754909886,0.0586881025434962
"gene_111",0.773297646392166,0.379198828363993,0.573674475588492,0.0399328680990031
"gene_112",46.1320023143445,1.10547881720173e-11,2.45661959378163e-10,0.0433306123739449
"gene_113",2.20290818771116,0.137750638918658,0.301753864005823,0.0502857050023408
"gene_114",0.915885911126622,0.338557521418357,0.532650799110271,0.58555592818507
"gene_115",3.6107750945913,0.0574063586422922,0.157062540744986,0.0655508044167935
"gene_116",4.13794188584427,0.0419321221042696,0.123148669909749,0.0492809473519553
"gene_117",1.92311515369317,0.16551365408592,0.339167323946556,0.111777676725415
"gene_118",0.316371887961282,0.573796208992985,0.732817636006367,0.257347191690919
"gene_119",0.0628702423134655,0.802015603503253,0.900635152726842,0.0649018623139039
"gene_120",0.39820632863632,0.528017040196479,0.697512602637357,0.0562558998595922
"gene_121",9.24258457025394,0.002364509809283,0.0119118882079748,0.0420407030285398
"gene_122",0.0717575421567744,0.788794781242292,0.890287563478885,0.0582246685878578
"gene_123",5.33777668097309,0.0208680718450928,0.0720831497239819,0.110702279006002
"gene_124",0.249953534348833,0.617107797241787,0.764693676879537,0.0704314237529069
"gene_125",4.71602536178563,0.0298827392802745,0.0957780105137004,0.133617070023257
"gene_126",0.00415799623033308,0.948586019946146,0.977853154020173,0.0475839670479918
"gene_127",1.55973334158239,0.211704268456841,0.396490034332637,0.0624675767051341
"gene_128",26.3126780755707,2.90376248050848e-07,4.39941432402535e-06,0.044451190318996
"gene_129",1.10160454053153,0.293914244234419,0.490859844264706,0.0506025812420699
"gene_130",0.00379219790090701,0.950896648080289,0.979296239011627,0.0685111429284788
"gene_131",0.0210922535891314,0.884527919510281,0.947032033736918,0.0443754624383311
"gene_132",1.52958177304367,0.21617522399964,0.401383483718909,0.0776827002915157
"gene_133",6.78752341746065,0.00917971728151181,0.036572578810804,0.114859575047288
"gene_134",0.192581809217586,0.660776431224714,0.801676432565073,1.27792332533583
"gene_135",3.55746946198315,0.0592780426275006,0.16152055211853,0.19095526536232
"gene_136",3.25773624894873,0.0710871997829274,0.186145837842537,0.0879097047379959
"gene_137",0.336895037875252,0.561626971530356,0.724212729246107,0.0578754364403443
"gene_138",0.842424153890931,0.358704380761898,0.554411716788096,0.893642460428168
"gene_139",0.000613092520950431,0.980245834165771,0.991148467306139,0.30863956392217
"gene_140",4.17159401969832,0.0411071080082007,0.12125990562891,0.0615007996511763
"gene_141",16.1259481490757,5.92664299067129e-05,0.00054261238015596,0.0603031111821019
"gene_142",27.9612172796371,1.23771375873916e-07,1.96462501387168e-06,0.0545695476394171
"gene_143",12.0542590003392,0.000516741845184456,0.00339961740252932,0.199462731652126
"gene_144",8.24072972215731,0.00409606613689715,0.0188758808151942,0.0438685153446764
"gene_145",7.86708481569622,0.00503427486551341,0.0225247197562121,0.563502505539562
"gene_146",20.4460567020478,6.13358001787408e-06,7.13206978822568e-05,0.081119556670208
"gene_147",0.00454836179551421,0.946230197488832,0.97699142002754,0.0735089874144381
"gene_148",0.0213990048229107,0.883697206475216,0.946649390975058,0.281391023995447
