"gene","dispGeneEst","dispFit","dispMAP","dispersion"
"gene_0",0.119821331830101,0.18578485438563,0.124313641712623,0.124313641712623
"gene_1",0.129846536904764,0.18578485438563,0.133918594342226,0.133918594342226
"gene_2",0.0521643542510949,0.18578485438563,0.0570927975509393,0.0570927975509393
"gene_3",0.0477646774791709,0.18578485438563,0.0528047812264752,0.0528047812264752
"gene_4",0.0927250878286637,0.18578485438563,0.0996571274792791,0.0996571274792791
"gene_5",0.0762638780695587,0.18578485438563,0.0831027014000567,0.0831027014000567
"gene_6",0.052611733622535,0.18578485438563,0.0577672169675857,0.0577672169675857
"gene_7",0.0806424431678176,0.18578485438563,0.0867350679932022,0.0867350679932022
"gene_8",0.931965790990484,0.18578485438563,0.78288126265192,0.931965790990484
"gene_9",0.0844598091031722,0.18578485438563,0.0907741216569119,0.0907741216569119
"gene_10",0.042415887808917,0.18578485438563,0.0466434013930272,0.0466434013930272
"gene_11",0.0606367842445468,0.18578485438563,0.0659805126927744,0.0659805126927744
"gene_12",0.078486424453035,0.18578485438563,0.0843359655611505,0.0843359655611505
"gene_13",0.0301533067051607,0.18578485438563,0.0357028495176225,0.0357028495176225
"gene_14",0.419109972655903,0.18578485438563,0.389154779502258,0.389154779502258
"gene_15",0.0555963602641608,0.18578485438563,0.0589539463297221,0.0589539463297221
"gene_16",0.282065575213612,0.18578485438563,0.270001574180226,0.270001574180226
"gene_17",0.526762183938228,0.18578485438563,0.472852425956796,0.472852425956796
"gene_18",0.0516407876061017,0.18578485438563,0.0577360836063724,0.0577360836063724
"gene_19",0.15316500125815,0.18578485438563,0.15588656744298,0.15588656744298
"gene_20",0.0679438886166357,0.18578485438563,0.0748035351858837,0.0748035351858837
"gene_21",0.0529665395076702,0.18578485438563,0.059300743879253,0.059300743879253
"gene_22",0.0751012933705496,0.18578485438563,0.0816225498151968,0.0816225498151968
"gene_23",0.9013426929928,0.18578485438563,0.751417409898663,0.9013426929928
"gene_24",0.106385066383372,0.18578485438563,0.111252161297039,0.111252161297039
"gene_25",0.0507216021899178,0.18578485438563,0.0590507990677133,0.0590507990677133
"gene_26",0.0653812465019538,0.18578485438563,0.0713921728400133,0.0713921728400133
"gene_27",0.0931896046318997,0.18578485438563,0.0999639617581734,0.0999639617581734
"gene_28",0.0824259578236517,0.18578485438563,0.0887039606271692,0.0887039606271692
"gene_29",0.0863271094246438,0.18578485438563,0.0914359644439608,0.0914359644439608
"gene_30",0.033848722697538,0.18578485438563,0.0388258031307607,0.0388258031307607
"gene_31",0.0869026754335466,0.18578485438563,0.0941882970280768,0.0941882970280768
