"sample","size_factor"
"sample_0",0.983754920034977
"sample_1",0.778340252601284
"sample_2",1.09667094563565
"sample_3",1.13319282687336
"sample_4",1.05777723300723
"sample_5",0.920866357514153
"sample_6",1.13755832603629
"sample_7",1.22017812113454
"sample_8",1.0786117423412
"sample_9",1.21552624456703
"sample_10",1.05182021964857
"sample_11",0.794282715255342
"sample_12",1.30219431340132
"sample_13",1.05134582119788
"sample_14",1.05306926187197
"sample_15",0.662136551940187
"sample_16",0.855956634923736
"sample_17",1.08651110268397
"sample_18",0.833235981860784
"sample_19",0.898513775054316
"sample_20",0.90264969254224
"sample_21",0.781793044423457
"sample_22",1.12736499269648
"sample_23",1.22161948250363
"sample_24",1.17210645638741
"sample_25",1.03693453336935
"sample_26",0.844448121160888
"sample_27",0.974337968860664
"sample_28",0.808260138955663
"sample_29",1.0839804871631
"sample_30",1.01986208143526
"sample_31",1.10826904169877
"sample_32",1.02945228516317
"sample_33",1.08205110509104
"sample_34",0.929352331115298
"sample_35",0.619381751374917
"sample_36",0.978066093611117
"sample_37",1.12901309334655
"sample_38",0.984826745384275
"sample_39",1.0995552300683
"sample_40",1.20786762057665
"sample_41",1.22543480429258
"sample_42",0.738896521654005
"sample_43",1.1457440672353
"sample_44",1.12568874770917
"sample_45",0.899054163100093
"sample_46",0.91259206461946
"sample_47",0.954430899891879
"sample_48",1.23944763593542
"sample_49",0.772316232065614
"sample_50",0.966670277125554
"sample_51",1.18022281806311
"sample_52",1.16773145945559
"sample_53",0.968592181573685
"sample_54",1.1186711372334
"sample_55",1.11809557450788
"sample_56",1.6543777836964
"sample_57",0.973725372584005
"sample_58",1.22733619064521
"sample_59",1.23371631768396
