"gene","pvalue_cf","padj_cf"
"gene_0",0.0325501845147869,0.102520266188305
"gene_1",0.238691688982906,0.427092901377877
"gene_2",0.177639063128802,0.35421547981815
"gene_3",1.1744091712185e-05,0.000126963153645243
"gene_4",0.116262771866634,0.268246548874816
"gene_5",0.196311542220878,0.377522196578611
"gene_6",0.574789875110073,0.733150350905705
"gene_7",0.28578240015545,0.482740540803125
"gene_8",0.511478135178204,0.682425797435896
"gene_9",3.98215744077852e-05,0.000390407592233189
"gene_10",1.00322718251351e-08,1.82404942275184e-07
"gene_11",0.00945453032159248,0.0372225603212302
"gene_12",0.879086164500438,0.944238629968247
"gene_13",0.42884841409816,0.615984130842831
"gene_14",0.269081506151242,0.461150824595101
"gene_15",0.0218848048039142,0.0744117361496741
"gene_16",0.144103347875429,0.309262786851583
"gene_17",0.851352415564314,0.930957253548044
"gene_18",0.000460415115588833,0.00312145841077175
"gene_19",0.581502787088985,0.738416237573314
"gene_20",0.994021939354259,0.99836215457676
"gene_21",0.0617285920388108,0.166834032537326
"gene_22",0.000915023104222087,0.00548558891281551
"gene_23",0.26630208606974,0.458973576215727
"gene_24",0.714643071845505,0.840235312035385
"gene_25",0.861468744782145,0.935602402260948
"gene_26",0.0521799312085494,0.144743221105546
"gene_27",0.00655573676028454,0.0274298609216926
"gene_28",0.510509750620295,0.681588452096522
"gene_29",0.231986639708417,0.419126720340409
"gene_30",5.17663404094106e-07,7.50236817527691e-06
"gene_31",0.0471391732284727,0.133728151002759
"gene_32",0.415801556707942,0.608217902641176
"gene_33",0.000200954513529631,0.001534336759236
"gene_34",0.292286575003711,0.489592252937539
"gene_35",0.169146498160359,0.343424803532207
"gene_36",0.727396392062702,0.848058978838676
"gene_37",0.422554131082871,0.613286111876446
"gene_38",0.143147857870236,0.308176227923005
"gene_39",3.43386489356834e-05,0.000343386489356834
"gene_40",0.462197813275877,0.641051058635058
"gene_41",1.60646401496637e-06,2.09995296074035e-05
"gene_42",0.176108732959696,0.352217465919392
"gene_43",0.0143276012062192,0.0525783530503456
"gene_44",0.352815623945258,0.54718125758778
"gene_45",0.00125727383764135,0.00712336451921444
"gene_46",1.10203941699966e-12,2.59303392235214e-11
"gene_47",1.1928406524009e-06,1.62291245224612e-05
"gene_48",0.23724517649288,0.425551886085883
"gene_49",0.98245340374914,0.99438603618334
"gene_50",0.55364794615613,0.716696370428648
"gene_51",0.227933582639502,0.414801788242951
"gene_52",0.267122621357553,0.458973576215727
"gene_53",0.754842502121097,0.866302527529955
"gene_54",0.0185018813275067,0.0653308393628051
"gene_55",0.455185744427474,0.63484762123776
"gene_56",0.00132697193552874,0.00745039421113732
"gene_57",0.212529538251217,0.396510332558241
"gene_58",0.00521519591808776,0.0231272546256663
"gene_59",0.0375028553320958,0.113473087237809
"gene_60",8.33759097126599e-05,0.000728173883953361
"gene_61",5.73846318946614e-13,1.3663007593967e-11
"gene_62",0.419080306066265,0.611177965783616
"gene_63",0.875836220508484,0.942265971499176
"gene_64",0.0925387710512335,0.225704319637155
"gene_65",7.24644938575609e-05,0.000650601996938978
"gene_66",0.666432144121318,0.803414278627267
"gene_67",0.00147831773010045,0.00812262489066179
"gene_68",0.00384204364877868,0.0179955206031788
"gene_69",0.864114511015254,0.936311709873443
"gene_70",0.142158149602137,0.307476539752869
"gene_71",0.574428589171752,0.733150350905705
"gene_72",0.000701901045448477,0.00441332405297046
"gene_73",0.133369530981291,0.29604779352118
"gene_74",0.029046234471401,0.0935466488611948
"gene_75",0.0357074012472567,0.110285916491946
"gene_76",0.00344136470781578,0.0164658598460085
"gene_77",0.602893989268398,0.755506252216038
"gene_78",0.992636482398177,0.998126176368202
"gene_79",7.72523115298715e-20,2.34097913726883e-18
"gene_80",0.823550424365243,0.916583666516687
"gene_81",0.167252577735392,0.340983848594071
"gene_82",0.118733974083378,0.27295166455949
"gene_83",0.0244027118339274,0.080803681569296
"gene_84",0.0117381941649003,0.0446319169768074
"gene_85",0.00782808271822627,0.0318862839846284
"gene_86",0.597072857202175,0.751507686849811
"gene_87",0.000386600319287738,0.00267543473555528
"gene_88",0.2196264551876,0.40607586485599
"gene_89",0.996807100258502,0.99836215457676
"gene_90",0.727979138754144,0.848058978838676
"gene_91",4.6506052925379e-08,8.08800920441374e-07
"gene_92",2.21678970853007e-31,9.63821612404377e-30
"gene_93",0.175340986193529,0.351109114358035
"gene_94",0.178411324862433,0.355047412661557
"gene_95",0.164634536960602,0.338270161658977
"gene_96",5.572001371502e-06,6.5169606684234e-05
"gene_97",0.00624302387002803,0.026552036686477
