"gene","Intercept","condition_treated_vs_control"
"gene_0",7.53210213055312,-0.282388058260458
"gene_1",6.62351108421166,0.16084019966849
"gene_2",8.80301781667661,-0.117310166875495
"gene_3",11.1311909998161,-0.358792773669825
"gene_4",6.41099811908488,-0.192209909470467
"gene_5",7.42198802874212,0.138101494213496
"gene_6",9.45503533228738,-0.0485387722907188
"gene_7",6.75547571781822,0.119633855908889
"gene_8",2.49104181841442,0.253464362647824
"gene_9",7.2353041603462,-0.46560724462857
"gene_10",10.2496933025824,0.443665594209803
"gene_11",7.50861095992719,0.248868970550162
"gene_12",8.67829493360523,-0.0158886149866028
"gene_13",9.03094734645849,-0.0552289101752818
"gene_14",4.36194042507076,-0.277209935384551
"gene_15",9.95806226890002,-0.199295174948615
"gene_16",4.44527052534196,-0.314598066914588
"gene_17",3.50764975907918,0.0541031778418419
"gene_18",10.0512352245558,0.300640928046094
"gene_19",5.98152710777308,0.0830910119091856
"gene_20",8.08619682372315,-0.000749577391452024
"gene_21",10.0140309249438,-0.162742202829444
"gene_22",7.36135470353803,-0.355692389852355
"gene_23",2.63468720776704,-0.432692827200962
"gene_24",5.80135055227929,-0.0486043122552058
"gene_25",9.43849662213911,0.0152509459785709
"gene_26",8.97009208786189,-0.186967790310987
"gene_27",6.43477361344477,-0.333870010448875
"gene_28",7.18637414589132,0.0731226012619958
"gene_29",7.0497563781772,0.135211122310635
"gene_30",9.79442450015021,-0.359943741589782
"gene_31",6.8994101689361,-0.230934028929153
"gene_32",7.46373899627441,-0.0869005545413172
"gene_33",8.72524745155593,0.349656794971786
"gene_34",4.55600033860621,-0.201229894261143
"gene_35",6.150991825749,-0.211132060869908
"gene_36",3.85828343083234,0.0757929919270853
"gene_37",6.42997080481677,0.111152930806444
"gene_38",4.36369070708485,0.309429045969377
"gene_39",2.06074134090229,-2.09576811272225
"gene_40",10.4957887078441,-0.0645469884414436
"gene_41",10.6637241400721,-0.418486073533514
"gene_42",5.87515905620454,-0.206392347907408
"gene_43",10.9333523683108,-0.237569368521001
"gene_44",5.88683746063289,0.129162137977367
"gene_45",12.1888463194852,-0.231775950112871
"gene_46",5.69910435854645,-1.24313187987855
"gene_47",10.0527079351399,-0.424308430813798
"gene_48",6.93972741305038,-0.163004675947447
"gene_49",7.43752610125194,-0.0022632692490121
"gene_50",6.41693655144142,0.0675064276810992
"gene_51",3.47954593010617,-0.31442523069866
