"sample","size_factor"
"sample_0",0.994454256768163
"sample_1",1.06637841029826
"sample_2",0.984835107636235
"sample_3",0.981128372052494
"sample_4",1.40538202064901
"sample_5",0.941394580994292
"sample_6",1.11743829322076
"sample_7",0.977425851407641
"sample_8",1.19100782522228
"sample_9",1.16763120505257
"sample_10",0.861025878517546
"sample_11",1.092041049452
"sample_12",0.786957709349335
"sample_13",0.970516110643016
"sample_14",0.888419921070759
"sample_15",0.842954322860233
"sample_16",1.02207466865503
"sample_17",0.692981113678656
"sample_18",1.08781836994358
"sample_19",1.23130553580148
"sample_20",1.21187391312123
"sample_21",0.779093226698298
"sample_22",1.11866136890808
"sample_23",0.990063586907464
"sample_24",1.1649595852304
"sample_25",1.25245144858219
"sample_26",0.920766684542709
"sample_27",1.3876007360849
"sample_28",1.08165394264825
"sample_29",0.996119658232405
"sample_30",1.23638269038429
"sample_31",1.30812018379534
"sample_32",0.746931760703695
"sample_33",0.930044266305881
"sample_34",0.920159789124723
"sample_35",1.17856873125663
"sample_36",0.658869248572037
"sample_37",0.707413980210969
"sample_38",1.29481311469062
"sample_39",0.80870972077156
"sample_40",0.914236638341873
"sample_41",1.29559954546531
"sample_42",1.12172698872546
"sample_43",0.870456241902432
"sample_44",0.941853027612027
"sample_45",0.950070477911544
"sample_46",0.932392098872666
"sample_47",0.999024463387276
"sample_48",1.40683157354182
"sample_49",1.07702853918609
"sample_50",1.20121562454134
"sample_51",1.22314712890373
"sample_52",1.16222388245008
"sample_53",0.907654701948257
"sample_54",0.876397338044806
"sample_55",1.05749608291836
"sample_56",1.26758885168946
"sample_57",0.618870273135476
"sample_58",1.16362392955924
"sample_59",1.15483185884966
