"","x"
"sample_0",-0.961933415919883
"sample_1",-0.292525722878467
"sample_2",0.258788216241251
"sample_3",-1.15213188591513
"sample_4",0.195782826286375
"sample_5",0.0301239446016315
"sample_6",0.0854177316122717
"sample_7",1.11661021271527
"sample_8",-1.21885741557799
"sample_9",1.26736872208989
"sample_10",-0.744781596135141
"sample_11",-1.13121857083574
"sample_12",-0.716358490032977
"sample_13",0.252652369646215
"sample_14",0.152045706655596
"sample_15",-0.30765642967842
"sample_16",-0.953017330908122
"sample_17",-0.64824281144847
"sample_18",1.22431362428059
"sample_19",0.19981160798297
"sample_20",-0.578483721859972
"sample_21",-0.942300733477539
"sample_22",-0.203728179661995
"sample_23",-1.66647484003016
"sample_24",-0.484455109150991
"sample_25",-0.741072660721595
"sample_26",1.16061577924134
"sample_27",1.01206712493423
"sample_28",-0.0720784740865598
"sample_29",-1.13678229809932
"sample_30",0.90062472898267
"sample_31",0.851770447092221
"sample_32",0.72771517415448
"sample_33",0.73650214568861
"sample_34",-0.352129616945692
"sample_35",0.705515513485513
"sample_36",1.30035798873208
"sample_37",0.0382520141442711
"sample_38",-0.979283769996278
"sample_39",0.793761230872534
"sample_40",0.786506872009449
"sample_41",-0.3104631309593
"sample_42",1.6988848455591
"sample_43",-0.794593708549281
"sample_44",0.348437716180028
"sample_45",-2.26540107351778
"sample_46",-0.162205279028246
"sample_47",1.13086499145889
"sample_48",-0.455545976260457
"sample_49",-0.899166315538872
"sample_50",0.726838901731248
"sample_51",-0.809440901865235
"sample_52",0.267085115955233
"sample_53",-1.73726371053359
"sample_54",-1.41142513580887
"sample_55",-0.453551226778487
"sample_56",-1.03549127536806
"sample_57",1.36214289325928
"sample_58",0.917456736975022
"sample_59",-0.785142161076832
