"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29","sample_30","sample_31","sample_32","sample_33","sample_34","sample_35","sample_36","sample_37","sample_38","sample_39","sample_40","sample_41","sample_42","sample_43","sample_44","sample_45","sample_46","sample_47","sample_48","sample_49","sample_50","sample_51","sample_52","sample_53","sample_54","sample_55","sample_56","sample_57","sample_58","sample_59"
"gene_0",84.1002438659813,112.125718699395,105.221693466111,73.3052935908753,67.1294006976532,65.9096002012544,54.2164540840808,56.0888558589308,63.562898758657,43.8843861715167,56.88612242458,86.5484417966168,92.9876419628134,68.0950586510014,65.5163607428426,86.7027390964129,84.0188668693982,64.3943027069708,80.9063017064948,61.4829158867015,78.1807335315631,109.823123733477,87.0765174178359,98.7632601165815,108.091163862624,112.407840632797,117.804537024901,73.3541076970117,82.9657701090139,107.490099777767,103.827610931796,96.8107056964996,123.275044020999,92.7882407151356,118.065357024474,92.7547947097927,86.5025118431181,91.400652868055,131.597121183092,99.5919270203667,79.7684743471918,59.1095836914352,80.9646858348327,67.6547869677739,68.043730592618,65.2225910233924,74.0172109050984,60.8198371537982,51.0912355375601,67.1738957588215,62.1958876942536,47.9473207912925,60.2787349330509,52.6709305762172,56.2062001801082,46.7271873483499,75.0416907780241,57.0041203551506,55.8574306521694,73.9837774645842
"gene_1",5832.08999619907,7775.56939532122,7296.7967468054,5083.49381365722,4655.21487528036,4570.6255097163,3759.74224280526,3889.58747461422,4407.88907307471,3043.2455105373,3968.46077585548,6037.74843217081,6486.95664321231,4750.41289102371,4570.5190774688,6048.51244202002,5861.28151105902,4492.24263474775,5644.14432126984,4289.13994630384,3943.22986397831,5539.18851485829,4391.90972536239,4981.35818332191,5451.83302997786,5669.55481364999,5941.74993665401,3699.78759536147,4184.57448022976,5421.51694387185,5268.10003376811,4912.0698952022,6254.84163356499,4707.97439773308,5990.50778252089,4706.27738380495,4389.04335245761,4637.56969980679,6677.094775915,5053.18603972955,7569.81843115079,5609.34403906935,7683.33575539202,6420.26135682592,6457.17108393451,6189.45235817547,7024.03865583665,5771.64259482442,4848.42388684978,6374.62604579989,5937.51399308358,4577.27831667349,5754.49351104661,5028.21647730768,5365.71005639466,4460.79859977462,7163.83519195813,5441.88329517803,5332.41486551841,7062.84177688063
"gene_2",462.276825787416,616.325458129329,578.375855092688,402.939835568205,368.992583671631,362.287662548361,298.013527040153,308.305625009045,349.388464590227,241.220878899305,306.306447378474,466.024833526171,500.697060122061,366.661579492795,352.776439120332,466.855655802787,452.404198539822,346.734656061977,435.644420642375,331.058133988539,272.183277349773,382.345066313549,303.153613689525,343.840567950499,376.315313296501,391.343660786883,410.132055887724,255.379561410488,288.842201857859,374.222731337704,354.094758784091,330.164232555038,420.418485843691,316.445976356028,402.651315398186,316.33191175329,295.009061562897,311.713732402861,448.800183918491,339.649338539484,669.061966588721,495.784514276905,679.09524874595,567.457823259638,570.720106870551,547.05766122828,620.822964145367,510.129348552077,428.530228313322,563.424324805393,511.024435156604,393.952935362744,495.272398434841,432.763861803856,461.810945452469,383.927867362098,616.570308177777,468.366952961448,458.945325913587,607.878100807043
"gene_3",4.91758437135906,6.55631489942191,6.15261658624259,4.2863724233051,3.92525011289546,3.85392485173658,3.17019279634013,3.27967754075514,3.71670643466811,2.56604691809972,3.41615947397525,5.19745883177923,5.58414953444998,4.08928522153944,3.93442771123618,5.2067247855838,5.04555128413077,3.86704521043952,4.85863365789047,3.69220886644972,5.89444978184143,8.28013320533237,6.56514893007313,7.44627289552233,8.1495517945199,8.47500837821841,8.88189322611076,5.53054550117852,6.25521843334904,8.10423446499614,8.03958501739212,7.49625164304327,9.54543967674078,7.18478392355195,9.14204291987935,7.18219413071137,6.69806703572857,7.07734014857159,10.1898351922063,7.71160731852059,4.55988544890131,3.37894052469964,4.62826568809908,3.86741856563702,3.88965214086689,3.72838450504574,4.23112019800464,3.4767054617977,2.92057963250129,3.83992889826966,3.65141804548586,2.81490816934189,3.53886516702835,3.09222351361828,3.29977336467535,2.74327614612256,4.4055739700611,3.34661794289457,3.27929768058685,4.34346562324814
"gene_4",19.159623190869,25.5443554207668,23.9714881389458,16.700329731925,15.2933447427987,15.0154511624153,12.3515317345735,12.7781002059469,14.4808282729349,9.99769161607569,16.5112477153521,25.1207623401697,26.9897459252921,19.7646514414612,19.0161820761758,25.1655472689037,24.3865509638674,18.6905037315876,23.4831261522535,17.8454711131593,21.4652691706975,30.1529904570948,23.907691836457,27.1163989747187,29.6774642866261,30.8626492370494,32.3443639186119,20.1400728205882,22.7790467919466,29.5124363854094,36.3189523089416,33.8644352078545,43.1216745189521,32.4573748651244,41.2993232977961,32.4456754350588,30.2586236362272,31.9719959144742,46.0327414389061,34.8373078735705,15.5634945330758,11.5327726920031,15.7968853695016,13.2000131095202,13.2758992541215,12.7254713987311,14.4413750758363,11.8664574042843,9.96832610231436,13.1061872245101,15.4604224023045,11.9185666444097,14.9838637004874,13.0927439935231,13.9715281609083,11.6152704119031,18.6535843481267,14.1698721898596,13.8848323290313,18.3906121919737
"gene_5",72.0276279932267,96.0300372948151,90.1170870071647,62.782296150197,57.4929545812488,56.4482568212688,46.4336654255487,48.0372833497448,54.4384250925056,37.5847690395544,51.1657010848965,77.8452021967281,83.6368817292228,61.2474759712251,58.928089788206,77.9839834878952,75.5699992283853,57.9188649787732,72.7704310394387,55.3002448050058,54.6570182419438,76.7785643104069,60.8761594572422,69.0464909445562,75.5677319482715,78.5855685726447,82.3584588977321,51.2826705686822,58.0022904041256,75.1475213776281,76.2306803155841,71.0788381900051,90.5090696715284,68.1255270300631,86.6840949811528,68.100970828507,63.5105177479179,67.1067540405731,96.6191746620199,73.1208228964227,54.7500532272207,40.5705747769371,55.5710873908465,46.4356779777411,46.7026341197116,44.7663109940587,50.8026042863289,41.7444278418567,35.0670849357213,46.1056125038541,44.8317478077852,34.5611626984272,43.4498347539551,37.9660129300237,40.5142893706349,33.6816718376367,54.0911992858494,41.0894424456115,40.2628909567003,53.3286391773131
"gene_6",35.1428622413444,46.8538318657419,43.9688555977693,30.6319900609408,28.0512775304317,27.5415610440541,22.6553609062926,23.4377790612133,26.5609478885182,18.3379127916584,25.89473811188,39.3971172369151,42.3282609824692,30.9970804007355,29.8232491716874,39.46735384295,38.2456469400682,29.3124848983139,36.8287976925842,27.9872126519377,30.7299259355529,43.167367532799,34.2265262821521,38.8201482825818,42.4865988043608,44.1833231946683,46.3045629545776,28.8327596170185,32.610745070674,42.2503429651555,44.4569792668362,41.4524758619773,52.7839948061591,39.7301339851567,50.5533073742455,39.7158130511321,37.0387061883272,39.1359956476281,56.3473476419981,42.6433411590019,38.9915740709271,28.8933156822674,39.5762934002932,33.070290724441,33.260409995013,31.8814106675455,36.1803028721356,29.7293035221192,24.9738723366732,32.8352266173815,33.1181805319729,25.5310774531667,32.0973315079185,28.0463138686152,29.9287807215109,24.8813785561091,39.958337355489,30.3536587220801,29.7430672825917,39.395017730984
"gene_7",1314.99646894,1753.20447824178,1645.2527246451,1146.20597747878,1049.63934492441,1030.56647103202,847.731735387421,877.00872210209,993.873306198992,686.178900373992,908.710213421629,1382.54199204005,1485.403053893,1087.76398605387,1046.57135371055,1385.0067677402,1342.13405994683,1028.64737587922,1292.41332608559,982.140304803893,944.879771278939,1327.30461006141,1052.39278457671,1193.63687719869,1306.37242162172,1358.54308279414,1423.76668741246,886.545947732006,1002.71095375355,1299.10805776417,1281.98049546249,1195.34134842415,1522.10188209004,1145.67516036964,1457.77682387989,1145.26219578232,1068.06399565753,1128.54233279387,1624.85625068036,1229.68165018747,1525.77206941389,1130.61898913264,1548.65261328654,1294.06742654105,1301.50694853543,1247.54558104195,1415.7647363716,1163.3318745908,977.247976885747,1284.86917646731,1215.37917763479,936.945792936996,1177.91580774505,1029.2505608035,1098.33379481113,913.102982174681,1466.40094397344,1113.92607272713,1091.51843711202,1445.72810111254
"gene_8",46.310998941377,61.7436264306633,57.9418264527778,40.3666055867119,36.9657620684,36.2940615250885,29.855063817582,30.8861285639707,35.0018169009583,24.1655632386837,31.0504852872947,47.241242751377,50.7559890814246,37.1687245792444,35.7611788010307,47.3254637499789,45.8605100574789,35.1487192933447,44.1615603896647,33.5595799782463,29.5982847500107,41.5777128400412,32.9661214617775,37.3905815886185,40.9220136784007,42.5562555490753,44.5993798497493,27.7709823011902,31.4098420066515,40.6944580501406,38.9632191190073,36.3299964746014,46.2612257856017,34.8204925665284,44.3061949978823,34.8079413383615,32.4616572898122,34.2997747261826,49.3842381816486,37.3737008889452,70.3231998184172,52.1104997824569,71.3777695611493,59.643877378165,59.9867667272701,57.4996743857669,65.2529355121659,53.6182445018859,45.0415931241155,59.2199278309932,54.3505790244709,41.8993078849419,52.6752534279949,46.0270876532502,49.1164229309077,40.8330804932364,65.576029155023,49.8136944891505,48.8116467392285,64.651559655917
"gene_9",329.905955389964,439.84346121823,412.76055472568,287.559842939075,263.333232507703,258.548235108755,212.678706508482,220.023708948548,249.342663925528,172.148375332745,192.114916279346,292.290033863873,314.036399200602,229.9695590804,221.260821138339,292.811124273432,283.747193278997,217.471424420222,273.235487256531,207.639134726468,251.046824166848,352.653974808785,279.612152122255,317.139551864427,347.09246360876,360.953781418847,378.283159502559,235.548004541209,266.41209617221,345.16238156926,287.03159603875,267.633350322946,340.794055834895,256.513239465639,326.391867822914,256.420777930518,239.136331972437,252.677250649012,363.800451424239,275.322041109166,349.428121138923,258.931249966037,354.668160340273,296.363761369038,298.067540226167,285.709456318801,324.234544413378,266.42306498338,223.806642745253,294.257203446354,234.557914674893,180.822623423909,227.327800748527,198.636663900933,211.969144501235,176.221162352903,283.002995135284,214.978322427194,210.653838036318,279.013311091749
