"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","dispersion","log2FoldChange_apeglm","lfcSE_apeglm"
"gene_0",76.2545858248427,0.0958512749184696,0.12858852911112,0.745410773270758,0.456023433086434,0.635720399284062,0.105691307650041,0.0825932353470991,0.120222181657279
"gene_1",5251.51047639347,0.104451077651382,0.0768917523124773,1.35841718402915,0.174331344628242,0.343171938244572,0.0424165608396746,0.0919579227379716,0.0750127008619383
"gene_2",412.921437835598,0.0661032070264573,0.0823769154826784,0.80244819363693,0.422293744691272,0.600987302691564,0.0463996759471479,0.0619533742358136,0.0798503319679868
"gene_3",5.00820440484389,0.134310033641963,0.413439038614865,0.324860550401673,0.745286615071868,0.859214019557636,1.01798210286032,0.0478161972330157,0.25686450138652
"gene_4",20.5696844392345,0.445264471280028,0.241370698658327,1.84473290981489,0.0650764010783414,0.171734959953858,0.366357225947176,0.318704743929304,0.229379359267874
"gene_5",58.3363342484964,0.166511143603998,0.147937955943789,1.12554714266341,0.260357252123004,0.439792655613182,0.140006363747015,0.138708384456666,0.137431379475062
"gene_6",34.0027974233281,0.219311784071075,0.184363228771479,1.18956358885923,0.234217964058286,0.408995280660569,0.215287787355061,0.16908457957547,0.166767611574471
"gene_7",1166.95035450138,0.126717787640673,0.0948576710671495,1.33587285261273,0.181590835563651,0.34803631773913,0.0639873844006725,0.11669446572751,0.0915389174663667
"gene_8",43.3262688033616,0.0831454537677245,0.165163780618283,0.503412149179884,0.614674531617552,0.764520561713373,0.172899111792734,0.0657482181036982,0.147368405491333
"gene_9",265.777923425788,-0.120200769555711,0.102962962844119,-1.16741754739216,0.243041788172498,0.418076470480215,0.0726167004963683,-0.108379049658593,0.0989600452192016
"gene_10",4832.85342057321,-0.140043529097896,0.0953829773099783,-1.46822350326494,0.142043522001443,0.2951042700861,0.0653523271580591,-0.129029368232458,0.0922569722733837
"gene_11",15.7461990687255,0.0136003612921675,0.221258086685307,0.0614683128463961,0.950986249355585,0.975140190383151,0.289557938277349,0.00924318013498393,0.181514416464552
"gene_12",1240.54951057514,0.0497332470591198,0.0973331077700719,0.510959201843259,0.609379625009135,0.761090289353624,0.0674523842298705,0.0456219342094575,0.0932853240657449
"gene_13",20.7186630917207,0.350936866303385,0.190725147235296,1.84001360801383,0.0657662395014974,0.17306905131973,0.207419849212577,0.277921043301417,0.180676829756129
"gene_14",5453.85814531748,0.0436698815442862,0.0928535529662908,0.470309214340348,0.638134115234379,0.787819895351086,0.061950748869407,0.0408697264042216,0.0893147209408604
"gene_15",750.711814451358,0.279062786488617,0.0995526600107804,2.80316755432148,0.00506033721535936,0.0232837601933713,0.0700820213653292,0.261746064099808,0.0978502868094154
"gene_16",1946.33338639306,0.122311756850683,0.0851904015312136,1.43574574896055,0.151074702107446,0.31000280870201,0.0517810489211298,0.115304493182836,0.0828301037023112
"gene_17",107.001316562495,-0.1143791245001,0.117980379610988,-0.969475813497444,0.332307842095573,0.509674604441063,0.0908755487388995,-0.100953878967109,0.111673042015696
"gene_18",3.55615802817489,-0.472622653303746,0.471467194276568,-1.00245077290892,0.316125930614475,0.495495189050902,1.30770252970664,-0.155198690184911,0.296469163682303
"gene_19",275.91695756335,0.06966953567694,0.111325415683138,0.625818778662712,0.53143381323514,0.699255017414658,0.0855083959908155,0.0632493451344624,0.105340475514988
"gene_20",71.4728783577986,0.244244359802943,0.126042839516627,1.93778845938109,0.0526490363276233,0.146790993478504,0.100056172334519,0.216408228212214,0.121316661480576
"gene_21",1893.52703779569,0.246023393981067,0.0834411469596203,2.9484661098933,0.00319355152861235,0.015705991124323,0.0496264824464654,0.233563405139151,0.0822215668838224
"gene_22",258.738040566802,0.227403669498589,0.0927963858651852,2.45056601481184,0.0142631805623215,0.0548583867781596,0.058178661190148,0.212629352276546,0.090856486258173
"gene_23",215.80664641363,0.00676532273253784,0.0944707781072119,0.0716128613322109,0.942910004493648,0.972994183744388,0.0596619846027185,0.00614213935704346,0.0905186761665503
"gene_24",1947.26411723318,-0.0829014878271781,0.087542864438565,-0.946981668452897,0.343648120148972,0.523853841690506,0.0547111638066283,-0.0773222084543296,0.0847616365473819
"gene_25",36.8602310358262,0.322805152702884,0.155795695441185,2.07197735334573,0.0382675532309867,0.116197023980729,0.147554504988285,0.274303869637263,0.150273924622407
"gene_26",4604.53862242223,0.291761009261631,0.0775452595678001,3.76246092782159,0.000168249599852093,0.0013213319360112,0.0431068909646481,0.280483366477256,0.0768185518360464
"gene_27",36.0065854032325,0.245897677291258,0.222596053432365,1.10468120840234,0.269297748772963,0.450266663083662,0.328560687120788,0.171504745076987,0.194142534234933
"gene_28",1031.61903691329,0.149364567435453,0.0938635554970922,1.5912945833389,0.111543295267255,0.253123968080004,0.0624919128371327,0.138193205738432,0.0910184351674464
"gene_29",171.065368442421,0.185546264642231,0.118384065641881,1.56732465333231,0.117038825683636,0.261505581146865,0.0948337891891523,0.164916005931229,0.113428233055002
"gene_30",5170.16877777592,0.399312499962944,0.0844863186497663,4.72635695748887,2.28583680769612e-06,2.65794977639083e-05,0.051244372304825,0.383696783525509,0.0842312809493784
