"sample","size_factor"
"sample_0",1.20097440466509
"sample_1",1.60118582387514
"sample_2",1.50259446179123
"sample_3",1.04681957247822
"sample_4",0.958626138669253
"sample_5",0.941207055113357
"sample_6",0.774225741490617
"sample_7",0.800964149174996
"sample_8",0.907695518899012
"sample_9",0.626680995603498
"sample_10",0.760131481111895
"sample_11",1.15648935885921
"sample_12",1.24253211499883
"sample_13",0.909909053080782
"sample_14",0.875451625210431
"sample_15",1.15855113122172
"sample_16",1.1226883287651
"sample_17",0.860458308732735
"sample_18",1.0810971872618
"sample_19",0.821555379837994
"sample_20",0.875831105654559
"sample_21",1.23030961134556
"sample_22",0.975487426142174
"sample_23",1.10640987105899
"sample_24",1.21090707749717
"sample_25",1.25926528056836
"sample_26",1.31972256146699
"sample_27",0.821760123581342
"sample_28",0.929436177990369
"sample_29",1.20417356914761
"sample_30",1.0883770528752
"sample_31",1.01482206522058
"sample_32",1.2922355421697
"sample_33",0.972656416387663
"sample_34",1.23762479143786
"sample_35",0.972305817309067
"sample_36",0.906766013984078
"sample_37",0.958110971702405
"sample_38",1.37947204635383
"sample_39",1.04397632814446
"sample_40",1.2993834431777
"sample_41",0.962861769769844
"sample_42",1.31886905343037
"sample_43",1.10205831009145
"sample_44",1.10839398230517
"sample_45",1.06243921035867
"sample_46",1.20569860646536
"sample_47",0.990720833777504
"sample_48",0.832247402150982
"sample_49",1.09422486360779
"sample_50",0.948011497863814
"sample_51",0.730829852053219
"sample_52",0.918789584194601
"sample_53",0.802828766347104
"sample_54",0.856714583509365
"sample_55",0.712232150891304
"sample_56",1.14381172637047
"sample_57",0.868876762205749
"sample_58",0.851398516244341
"sample_59",1.12768664122312
