"gene","pvalue_cf","padj_cf"
"gene_0",0.45602343308644,0.635720399284071
"gene_1",0.174331344628249,0.343171938244585
"gene_2",0.422293744691275,0.600987302691567
"gene_3",0.745286615071868,0.859214019557658
"gene_4",0.0650764010783414,0.17173495995386
"gene_5",0.260357252123004,0.439792655613183
"gene_6",0.234217964058285,0.408995280660567
"gene_7",0.181590835563655,0.348036317739125
"gene_8",0.61467453161755,0.764520561713371
"gene_9",0.243041788172501,0.41807647048022
"gene_10",0.142043522001442,0.295104270086099
"gene_11",0.950986249355583,0.975140190383153
"gene_12",0.609379625009122,0.761090289353608
"gene_13",0.0657662395014978,0.173069051319731
"gene_14",0.638134115234373,0.787819895351078
"gene_15",0.00506033721535951,0.023283760193372
"gene_16",0.151074702107449,0.310002808702015
"gene_17",0.332307842095568,0.509674604441055
"gene_18",0.316125930614475,0.495495189050901
"gene_19",0.531433813235144,0.699255017414663
"gene_20",0.0526490363276235,0.146790993478504
"gene_21",0.00319355152861214,0.015705991124322
"gene_22",0.0142631805623209,0.0548583867781573
"gene_23",0.942910004493642,0.972994183744387
"gene_24",0.343648120148975,0.523853841690511
"gene_25",0.0382675532309872,0.11619702398073
"gene_26",0.000168249599852089,0.00132133193601117
"gene_27",0.269297748772964,0.450266663083671
"gene_28",0.111543295267252,0.253123968079998
"gene_29",0.117038825683637,0.261505581146867
"gene_30",2.28583680769619e-06,2.65794977639092e-05
"gene_31",0.0594783059398823,0.161042344602569
"gene_32",0.378151024548984,0.561054932565258
"gene_33",0.492701896320565,0.668826103602577
"gene_34",0.689440674602676,0.82403267880798
"gene_35",0.0232637352617838,0.0795913404369452
"gene_36",0.829813821584009,0.915909295346588
"gene_37",0.00561972860242719,0.0256218629289993
"gene_38",0.0546096467322386,0.151413068573675
"gene_39",0.294870318891276,0.477136438335398
"gene_40",0.309196977896382,0.489752340912959
"gene_41",0.548217698226153,0.710325399690141
"gene_42",0.728804793020168,0.850744894576071
"gene_43",0.554344059104301,0.714975140719219
"gene_44",0.261871802091612,0.440367380198898
"gene_45",0.0784277773814092,0.198383922549939
"gene_46",0.0250405666335082,0.0844064043826117
"gene_47",0.125776124683787,0.272636108418613
"gene_48",0.948161246588679,0.975140190383153
"gene_49",0.0197619029561979,0.0709159196992748
"gene_50",0.485657831256061,0.662260678985538
"gene_51",0.13640583974893,0.289601334451552
"gene_52",0.820136471384657,0.909242207743522
"gene_53",0.782885023851395,0.881627279111932
"gene_54",0.446307628635903,0.625664899956873
"gene_55",0.268973315130651,0.450266663083671
"gene_56",0.12033960180867,0.265455003989714
"gene_57",3.05711450117935e-05,0.000288407028413147
"gene_58",1.39276947221161e-21,3.11814060942898e-20
"gene_59",0.00026119090085373,0.00189268768734587
"gene_60",1.14647004769306e-105,1.43308755961633e-103
"gene_61",2.62999407664475e-09,4.15262222628118e-08
"gene_62",0.341954765925595,0.522334163837467
"gene_63",4.8432175953609e-08,7.05322950780714e-07
"gene_64",0.415392012850021,0.596256477775149
"gene_65",0.579215433725915,0.732565894257059
"gene_66",0.873985222287193,0.93576583540351
"gene_67",0.497704738916821,0.671364306092834
"gene_68",0.452126761608466,0.631461957553724
"gene_69",0.000704111463514927,0.00466083471757942
"gene_70",0.0151327572773327,0.0569509777497417
"gene_71",0.161917586062329,0.326008562541602
"gene_72",0.0774015703910561,0.197117751420347
"gene_73",0.0194889604496635,0.070272693929075
"gene_74",0.0032618794302733,0.0158857764461362
"gene_75",0.00256354338473165,0.0130349663630423
"gene_76",0.76459208636693,0.869513365845637
"gene_77",0.0240966533350497,0.0815913769809809
"gene_78",0.314269319840121,0.494134150692014
"gene_79",0.00264146806682501,0.0133407478122475
"gene_80",0.122823955320533,0.269745143456515
"gene_81",0.564441032933718,0.721176788245806
"gene_82",0.0132314271548007,0.051551014888834
"gene_83",0.00114990661033483,0.00681762812451478
"gene_84",0.0434705396787059,0.128179585274262
"gene_85",0.930751579581882,0.965509937325604
"gene_86",0.74789553058622,0.859650035156574
"gene_87",0.317628287980743,0.496811712170088
"gene_88",0.911480204686106,0.953431176449901
"gene_89",0.296232156144079,0.478308110028114
"gene_90",0.329719810589355,0.507782049162252
"gene_91",0.948296493988607,0.975140190383153
"gene_92",0.0887566992891669,0.214584694114455
"gene_93",0.00232096145868442,0.0121304605854586
"gene_94",0.158450847734991,0.321184150814172
"gene_95",0.000223541255868162,0.00165178267882878
"gene_96",0.787425210894038,0.883423946403184
"gene_97",0.251184579893409,0.428642627804452
"gene_98",0.716364096159976,0.842781289599972
"gene_99",0.00117723681677331,0.00695218592582661
"gene_100",0.558883801516771,0.717744608112291
"gene_101",0.648873810405078,0.796489947305743
"gene_102",6.13438470506487e-07,7.79794665898077e-06
"gene_103",0.414613001180402,0.595708335029313
"gene_104",0.0672332753483372,0.176311036752633
"gene_105",0.228428552827724,0.401371104611553
"gene_106",0.772171431253661,0.876051863413282
"gene_107",0.366114943207062,0.548328344717098
"gene_108",0.139533882338581,0.290921458414411
"gene_109",0.000705339653927019,0.00466083471757942
"gene_110",0.609096228831289,0.761090289353608
"gene_111",0.425541020930546,0.604461677458162
"gene_112",3.16799341051839e-26,8.48569663531712e-25
"gene_113",3.72002418178027e-57,2.06668010098904e-55
"gene_114",6.93384129379372e-05,0.000601200112178646
"gene_115",0.30323273482956,0.483087333193917
"gene_116",0.446729743788782,0.625671910068321
"gene_117",0.0057429479698034,0.0259481765031474
"gene_118",3.43273111291761e-29,1.09555248284605e-27
"gene_119",0.46161451291401,0.641131267936124
"gene_120",0.517659699465679,0.688377259927765
"gene_121",0.186258908583061,0.353656155537458
"gene_122",0.532270238884709,0.699741768910661
"gene_123",0.0750001544428428,0.191326924599089
"gene_124",0.836328275861101,0.918567770464558
"gene_125",0.00266435300688957,0.013411172853471
"gene_126",0.817650942074812,0.907157110290102
"gene_127",0.416987048824023,0.59680893202204
"gene_128",0.787195670828829,0.883423946403184
"gene_129",0.0844700954159894,0.208396616980237
"gene_130",0.894119233397736,0.945824294849509
"gene_131",1.24403549944753e-89,1.09767838186547e-87
"gene_132",0.00185261837826136,0.00999614232874835
