"gene","Intercept","batch_B_vs_A","batch_C_vs_A","condition_treated_vs_control"
"gene_0",6.12983267431313,0.350183947394248,-0.189913121754767,0.0958512749184685
"gene_1",12.2455918625751,-0.109154359497932,0.262623890878461,0.104451077651382
"gene_2",8.58840782654755,-0.308697798824788,0.419760971026901,0.0661032070264573
"gene_3",2.03374440068957,0.716888156277543,-0.222574045994422,0.134310033641963
"gene_4",3.99579187854423,0.619415886411952,-0.413524980434802,0.445264471280028
"gene_5",5.90627308481552,0.0573371733464144,-0.509311850152873,0.166511143603998
"gene_6",4.87095438813406,0.261893402571053,0.0363088760565405,0.219311784071076
"gene_7",10.0966378057734,-0.0213754408641976,0.100858709696689,0.126717787640672
"gene_8",5.26907756715348,-0.19036049357178,0.489024017140971,0.0831454537677249
"gene_9",8.10170560667498,0.0613824636344981,-0.0306809268359923,-0.120200769555711
"gene_10",12.0864422936084,0.509863366352431,0.10071310985409,-0.140043529097896
"gene_11",3.94497127308916,0.0530430307320814,0.025822288373945,0.0136003612921681
"gene_12",10.1013001397288,-0.0371569755537985,0.43739039547901,0.049733247059122
"gene_13",4.24475947283518,0.424562666650484,-0.90435197517335,0.350936866303385
"gene_14",12.2670668259635,0.187188897675099,0.17726112534391,0.0436698815442869
"gene_15",9.44953431528578,-0.0720223520374658,-0.0604870197232206,0.279062786488617
"gene_16",11.0006949631602,-0.0786477668037729,-0.355541007207343,0.122311756850683
"gene_17",6.83224803701213,-0.262347238343366,0.129923235276116,-0.114379124500101
"gene_18",2.30858373566138,-0.482143042398133,-0.356203678179727,-0.472622653303746
"gene_19",8.01668866828734,0.403731963477913,-0.330218329027468,0.0696695356769395
"gene_20",6.30396185101974,-0.702458219564244,-0.197644509796682,0.244244359802943
"gene_21",10.7589714225584,0.267369753012785,-0.333195283612004,0.246023393981068
"gene_22",7.94218621096965,-0.150214667504279,0.0113968347122588,0.22740366949859
"gene_23",7.62301860398645,0.103060212924511,0.265802322630043,0.00676532273253848
"gene_24",10.8521991792757,0.254321122845562,0.0813987357406882,-0.0829014878271774
"gene_25",4.97014184491673,0.00408115674655411,0.174174584410154,0.322805152702883
"gene_26",11.6893509472995,0.138643798841805,0.732433922425876,0.291761009261631
"gene_27",4.99845702832918,0.291861667418127,-0.204801082137447,0.245897677291258
"gene_28",9.86062024242076,-0.276734475945789,0.41448013419028,0.149364567435454
"gene_29",6.94646146980458,0.192398736289102,0.810917818376927,0.185546264642231
"gene_30",12.2428798668563,-0.150481670039965,-0.218681537027269,0.399312499962946
"gene_31",6.27919421006015,-0.144513133805273,0.075142694328854,-0.259368160826536
"gene_32",5.72725956817895,-0.0636213369918966,0.406731720217936,0.143343734524918
"gene_33",5.15091071805282,0.126409669520187,0.457966977186276,-0.116731944133464
"gene_34",6.27127806108385,-0.111966730244327,0.00882034428722719,-0.0571273488077039
"gene_35",8.98514039179841,-0.0295049012830077,-0.174107117052034,-0.199961668329679
"gene_36",5.55653337728512,-0.203733717136298,0.109908121082508,-0.0361575856440539
"gene_37",9.28588263555878,-0.092709720638689,-0.137579635777797,-0.290336518604075
"gene_38",9.76676225307568,-0.124735496427615,0.763871443591372,0.176064785073045
"gene_39",4.7773563197047,-0.305032724484561,-0.467365606522974,0.17749806214464
"gene_40",6.5436760761069,0.401847143156489,-0.280976418916512,-0.112799207305162
"gene_41",9.48661069874065,0.0732450554864852,0.272818714237544,0.0506267813940096
"gene_42",12.1899910542977,0.485052846643241,-0.319324019789819,-0.0325736521075634
"gene_43",8.15294627861933,-0.466914209244341,0.317042955669109,-0.0604834325405976
"gene_44",8.33432337769175,0.0596331260066055,0.389728126344456,0.105526458806554
"gene_45",5.6506268900859,-0.00560388010972721,0.460302616601687,-0.270042968292542
"gene_46",7.35318064558702,0.0444218987459189,0.0213428659299055,0.240598043826047
"gene_47",6.15687733554378,-0.17306100920189,-0.369362841377604,0.240947477744901
"gene_48",1.94614304893977,0.322920641680221,0.538939569964424,-0.0271726272313256
"gene_49",8.65139872317182,-0.454265375420746,-0.408166966777805,0.225358180706447
"gene_50",2.7860781763005,0.762854696377591,0.407061446412235,-0.244918861136974
"gene_51",4.93612345796751,0.154373338000625,-0.0955519193139405,-0.288362002847349
"gene_52",2.67870312103064,0.530844203126686,-0.306656424721712,-0.0849903938276969
"gene_53",11.9983620302758,0.0292455169858489,0.0784177840199594,0.0227032328698975
"gene_54",8.70285150512391,-0.147704631311952,-0.0628598822637683,0.0567411921553879
"gene_55",6.35845910975335,0.583613566359176,0.461972751639088,0.129301152247358
"gene_56",6.63465326641967,-0.426746735645513,-0.0059495068404445,0.166030209887243
"gene_57",8.04380762237889,0.42475028558084,-0.119516224262633,0.429092167622003
"gene_58",8.32015105604553,-0.145789325823521,0.0854261357109288,0.964509265745257
"gene_59",5.17079654114513,0.111051438519276,-0.157188323637932,-0.65293432520481
"gene_60",9.67788058459503,-0.26432384769275,0.229451094055278,1.98937490351291
"gene_61",8.48177501350122,0.167439493017029,-0.347799783687684,0.617848028549735
"gene_62",10.4719130537112,-0.506260628171786,-0.176392231480594,0.0789241297251974
"gene_63",11.1290758454158,-0.107223012973714,0.213899215866972,0.404922995845902
"gene_64",4.53817628318794,0.151783491564137,-0.811967565720455,-0.189487290272562
"gene_65",10.4988216332823,-0.137078196091711,-0.200434957102697,0.0403102838284426
"gene_66",10.0269737645418,0.589758701501253,-0.473086692925596,0.0142216926455618
"gene_67",6.25087618238811,0.128744345198875,-0.182379171756608,0.0861422008679678
"gene_68",11.9005360026685,0.0438602096405682,-0.254334597511173,0.0654847882442373
"gene_69",9.84196859472614,-0.267001706405035,-0.0448095824646752,0.3763943369176
"gene_70",7.66406104155742,-0.224045797818009,-0.656096456307414,0.246345773426697
"gene_71",9.81216976797967,0.278878600958845,0.14068956096345,-0.12132408771393
"gene_72",3.40560302901245,-0.472764979003489,0.116084289146012,0.466269586583863
"gene_73",12.2561046473639,0.0987534615490739,-0.36237979278254,-0.197708230376092
"gene_74",7.17288497911049,0.100392193296573,0.560366732881341,-0.330156328706727
"gene_75",10.9807081083451,0.483194287812219,-0.615411467022463,-0.200670949025392
"gene_76",5.04702056478378,-0.152615943381361,-0.194958724486403,0.0618181825689798
"gene_77",7.62886384908772,-0.555468516638574,-0.238936003818833,-0.259185245038548
"gene_78",12.195964717687,0.621964708895094,-0.322158563967335,0.0923173714659359
"gene_79",7.02919480664817,-0.141632173116513,-0.333043651211671,0.378015427628912
"gene_80",5.12831798220369,0.615724955918672,0.346209962983553,0.247692706223628
"gene_81",6.31537316603452,0.133331228660685,0.126751650649728,-0.0729406478476005
