"gene","dispGeneEst","dispFit","dispMAP","dispersion"
"gene_0",0.298140702714758,0.476369936754474,0.399463480843061,0.399463480843061
"gene_1",0.133078464678134,0.129052248353329,0.131130897327515,0.131130897327515
"gene_2",0.118852275238242,0.0652057425004054,0.0919827862661322,0.0919827862661322
"gene_3",0.0477551222138296,0.0915581629138297,0.0696777676689885,0.0696777676689885
"gene_4",0.234625820679005,0.12062923517924,0.176415209850399,0.176415209850399
"gene_5",0.784693627589164,0.806152709576757,0.796566629554386,0.796566629554386
"gene_6",0.147910116197758,0.184463726733359,0.166276398723593,0.166276398723593
"gene_7",0.0659132190926631,0.337475229596518,0.20690996817858,0.20690996817858
"gene_8",0.0941111985866101,0.0596870714595759,0.077344064644122,0.077344064644122
"gene_9",0.126420194625001,0.0668943262859783,0.0957647942895011,0.0957647942895011
"gene_10",0.125581212801456,0.0505708725068995,0.0876122974014558,0.0876122974014558
"gene_11",0.109030639769542,0.0713525892383964,0.0902966369364867,0.0902966369364867
"gene_12",0.038507630365505,0.0509940646750011,0.0438912374482125,0.0438912374482125
"gene_13",0.236881565619193,0.117193867932114,0.174552595770709,0.174552595770709
"gene_14",0.904318696361366,0.708264727557686,0.792888173622529,0.792888173622529
"gene_15",0.109764484587837,0.0532479793853879,0.0817347453662181,0.0817347453662181
"gene_16",0.248274982170284,0.14371567555535,0.194735380077717,0.194735380077717
"gene_17",0.473608666413984,0.120310735417369,0.254048269300801,0.473608666413984
"gene_18",0.14949882808663,0.196070799514173,0.174622442688794,0.174622442688794
"gene_19",0.0122918997143428,0.0489834652453559,0.0259964501667331,0.0259964501667331
"gene_20",0.0776283880915915,0.0501825696369134,0.0647000762773618,0.0647000762773618
"gene_21",0.116996265102847,0.0538784327084822,0.0850430426409362,0.0850430426409362
"gene_22",0.0557814228739611,0.0830210317391435,0.0686926773284096,0.0686926773284096
"gene_23",0.699524769189161,0.37060071817683,0.514118561869378,0.514118561869378
"gene_24",0.0939687834590508,0.0596928878907433,0.0775129940926596,0.0775129940926596
"gene_25",0.0603938506669865,0.0493339962056389,0.0553124662265311,0.0553124662265311
"gene_26",0.105734495970826,0.0543266611599386,0.0805294387086233,0.0805294387086233
