"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11"
"gene_0",15.3549334577575,15.3515255030409,23.7630158076007,19.9341931242861,12.7519336589283,12.7045506908941,2.10112202072884,2.13869678551078,2.11597751411929,1.56226721479259,2.09027430952486,1.76436184948704
"gene_1",56.9721816298518,56.9595369241204,88.169112317429,73.9628390084364,47.3141406015827,47.1383331929454,72.8698138736745,74.1729586168139,73.385022903747,54.1815849054737,72.4936002656162,61.1905059818157
"gene_2",211.75649712516,211.7094987741,327.710504405027,274.908056138965,175.859101611597,175.205653561045,242.724078501935,247.064759369893,244.440202510115,180.47493974328,241.470938189347,203.821148812746
"gene_3",82.832576665413,82.8141923675514,128.190189433226,107.535508686713,68.7906284544528,68.5350198356902,150.128371302349,152.813145524469,151.189818950605,111.62637399541,149.353285800724,126.066343714587
"gene_4",68.4024510188157,68.3872694189595,105.858389377621,88.801926269157,56.806727290593,56.5956478248953,78.7119729240122,80.1195941087717,79.2684875776049,58.5254609192906,78.3055973103396,66.0963050955083
"gene_5",7.00060064361757,6.99904689347936,10.8340022582735,9.08837056179956,5.81384447061614,5.79224169145533,2.56148007453899,2.60728750996868,2.57959042222069,1.9045616115187,2.54825561835358,2.15093539411392
"gene_6",23.8430968655715,23.8378050032105,36.8991431501441,30.9537582111266,19.8011662043096,19.7275900667297,47.6491462357434,48.5012649819205,47.9860384152467,35.4290223235763,47.4031423519223,40.0121149317222
"gene_7",10.9613433375591,10.9589105193492,16.9635756299133,14.2303146798802,9.10315394318244,9.06932891994776,18.0949124897433,18.4185072518962,18.222848349841,13.4542821684677,18.001491744535,15.1947259377326
"gene_8",328.43786717895,328.36497195074,508.284470985124,426.386990974951,272.760406605991,271.746897755264,656.08121812266,667.814043349183,660.719887416145,487.822300276819,652.693990008189,550.926914287001
"gene_9",320.657554900443,320.586386475674,496.243801178847,416.286377517154,266.299028815316,265.309528814187,80.0064120402721,81.4371819259819,80.5720787238499,59.4879275313804,79.5933534726512,67.1832762331581
"gene_10",3366.04702182278,3365.2999436374,5209.23316331869,4369.89398769058,2795.42782996769,2785.04072546636,4072.17513211963,4144.99861463551,4100.96649700142,3027.82305789047,4051.15123185613,3419.50175984994
"gene_11",88.7451430619641,88.7254464980094,137.340369675378,115.211363533838,73.7008844741385,73.4270305829142,277.677802982939,282.643567954852,279.641059150925,206.464414534765,276.244202942201,233.172617867539
"gene_12",1005.31390592766,1005.09078127025,1555.80552034829,1305.12591320725,834.891031605933,831.788787183971,1226.70057009834,1248.63788974213,1235.37367048536,912.100327408521,1220.36733795528,1030.08947851337
"gene_13",87.0130221086272,86.9937099807099,134.659770784601,112.962676902051,72.2623962158236,71.993887384022,65.3801193772018,66.5493244889362,65.8423742684899,48.6127012113259,65.0425737008973,54.9012323920289
"gene_14",6.50544021887127,6.50399636724285,10.0677009888532,8.44553980245104,5.40262465619867,5.3825498661133,4.7547683204004,4.83979874674837,4.78838580127965,3.53535805517819,4.73022031553792,3.99269140245078
"gene_15",348.954027088382,348.876578395703,540.034906998431,453.02162895163,289.798625027503,288.721806456037,1501.08400074194,1527.92817147042,1511.69706520537,1116.11524598432,1493.33417680391,1260.49573402013
"gene_16",45.6730168989805,45.6628799893163,70.6827304421152,59.2939553882005,37.9304334402482,37.7894935198178,61.0346551698545,62.1261495185544,61.4661864695692,45.3816769313374,60.7195443356503,51.252243332795
"gene_17",30.5432974667945,30.5365185266612,47.2682517652336,39.6521412502768,25.3655350635665,25.2712831352523,122.043323325329,124.225847292007,122.906202189632,90.7440314910204,121.413235823154,102.482664755058
"gene_18",31.6364317579382,31.6294102018291,48.9599665168305,41.0712779811773,26.2733589886465,26.1757338156799,31.8822609500903,32.4524174874535,32.1076770430845,23.7057203362757,31.7176586300421,26.7722884919445
"gene_19",1277.21133425223,1276.92786324908,1976.58903628457,1658.11056541234,1060.6958504654,1056.75457230941,2048.35584379549,2084.98698099791,2062.83826623388,1523.03347802736,2037.78055477503,1720.05284286772
"gene_20",3166.9681797562,3166.26528617642,4901.1423673539,4111.444408887,2630.09724133875,2620.32446359018,3730.99946188343,3797.72163498844,3757.37862373075,2774.14547094575,3711.73698961127,3133.00848121155
"gene_21",1325.44397313047,1325.14979712169,2051.23299115804,1720.7274918183,1100.75199351952,1096.66187684251,292.354291372729,297.582518778347,294.421314230188,217.376963360321,290.844919289258,245.496812247455
"gene_22",90.6756636021528,90.6555385683126,140.328008159101,117.717617916795,75.3041392146041,75.0243280332817,183.17990318966,186.455744243738,184.475033988466,136.201493458632,182.234178634603,153.820496664185
"gene_23",11.389906929,11.387378993132,17.6268128510964,14.7866876150885,9.45906655600633,9.42391905130276,13.9639271169808,14.2136466818972,14.0626558081013,10.3827313737091,13.8918338986222,11.7258398280326
"gene_24",292.577468930276,292.512532747521,452.787570735155,379.832044568347,242.979136585651,242.076287420203,695.378866868964,707.8144594234,700.295381026027,517.041654340554,691.788752134683,583.926079275273
"gene_25",1368.56275509096,1368.25900907285,2117.96283405514,1776.70546979189,1136.56119116447,1132.33801654404,1490.59403990725,1517.25061667068,1501.13293754824,1108.31554575995,1482.89837373091,1251.68706583392
"gene_26",869.854859427514,869.661799263556,1346.17156315004,1129.26928700994,722.395280372387,719.711041778189,740.500302397785,753.742810166993,745.73583714511,550.591223911293,736.677233890759,621.815615749468
"gene_27",312.082796543393,312.013531245607,482.973661067494,405.154392507009,259.177881074021,258.214841461161,166.371618943044,169.34687425259,167.547910686781,123.703870209558,165.512672505366,139.706182889216
"gene_28",199.067007430446,199.022825451491,308.072480897114,258.434214756392,165.320760224588,164.7064699917,361.737765398295,368.206790668361,364.295347932739,268.96631688152,359.870179045909,303.759756211614
"gene_29",32.2479291073169,32.2407718322689,49.9063086953602,41.8651405069277,26.7811940537309,26.6816818937945,13.6935770976384,13.9384619417317,13.7903943419768,10.1817154557518,13.6228796473052,11.4988205233801
"gene_30",460.692134100739,460.589885664716,712.958769583102,598.083084975144,382.594659065407,381.173033844838,365.871063567873,372.414005395361,368.457869623384,272.039587332064,363.982137748087,307.230584431494
"gene_31",148.75307941829,148.720064377228,230.207560805825,193.115302069796,123.536152437378,123.077123264347,154.504275949666,157.267305307,155.596662411529,114.880031944886,153.706598447481,129.740894331139
