"gene","stat","pvalue","padj","dispersion"
"gene_0",17.2200929666857,3.32896779133941e-05,0.000107386057785142,0.492279963524325
"gene_1",0.284303398682326,0.593894389474061,0.737785300544938,0.137113255797949
"gene_2",0.00342991413464233,0.953298215365922,0.962927490268608,0.0995909560647725
"gene_3",7.79068986855737,0.00525161394921201,0.0125038427362191,0.074941902454818
"gene_4",0.00353376121722704,0.952597315242806,0.962927490268608,0.182568019224274
"gene_5",2.95686185649813,0.0855137608687277,0.159838805362108,0.984462651497854
"gene_6",4.52701232029756,0.0333638165305649,0.0680894214909488,0.180820489182943
"gene_7",1.30952281938359,0.25248106967493,0.403969711479887,0.249347657776367
"gene_8",11.4673049013628,0.000708313266667046,0.00186398228070275,0.0806282418250404
"gene_9",57.0879235648842,4.16756951976211e-14,2.83487997229085e-13,0.103961978478128
"gene_10",0.138549450539415,0.709727334144856,0.801951789994188,0.0907685452304533
"gene_11",28.4308960940052,9.71032233070569e-08,4.4137828775935e-07,0.0979161987842719
"gene_12",0.335449354090883,0.562467793269843,0.721112555474157,0.0472888593634318
"gene_13",2.59729245238178,0.107046450863107,0.191154376541262,0.180693590998825
"gene_14",0.495216268986411,0.481609627493333,0.650823820936936,0.968961438961009
"gene_15",57.0483315323484,4.25231995843628e-14,2.83487997229085e-13,0.0858809387153999
"gene_16",0.36149696454045,0.547676032908086,0.707021529365388,0.204166353765868
"gene_17",9.12087661659851,0.00252708837143247,0.00623972437390734,0.473608666413984
"gene_18",0.186713963407186,0.665665746390621,0.782890036204644,0.19229385622424
"gene_19",12.1714925721877,0.000485254605914551,0.00134792946087375,0.0288585706553169
"gene_20",0.0648682108654555,0.798960698394445,0.868435541733092,0.0675896738305523
"gene_21",80.0869498140779,3.58290998196444e-19,3.77148419154152e-18,0.0891881535974286
"gene_22",12.00340884954,0.000531033296457434,0.00143522512556063,0.0744381975224651
"gene_23",0.0272538185517419,0.868875264385733,0.924335387644397,0.593572672994356
"gene_24",19.3563065889808,1.08460451590568e-05,3.67662547764638e-05,0.0807486585002471
"gene_25",0.0804757834914653,0.776653676345702,0.858180857840555,0.0594406989682858
